matrix,row_block_size,col_block_size,tau
data/suitsparse_N20000_100000_dN0.0001_0.1//cz40948.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//cz40948.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//de2010.mtx,64,64,0.1
data/suitsparse_N20000_100000_dN0.0001_0.1//de2010.mtx,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//de2010.mtx,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//de2010.mtx,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//de2010.mtx,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//delaunay_n15.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//delaunay_n15.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//delaunay_n15.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//delaunay_n15.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//delaunay_n15.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//dtoc.mtx,64,64,0.4
data/suitsparse_N20000_100000_dN0.0001_0.1//dtoc.mtx,128,128,0.4
data/suitsparse_N20000_100000_dN0.0001_0.1//dtoc.mtx,256,256,0.2
data/suitsparse_N20000_100000_dN0.0001_0.1//dtoc.mtx,512,512,0.2
