matrix_name rows cols nnz block_size scramble algo mask tau centroid VBR_nzcount VBR_nzblocks_count VBR_average_height VBR_longest_row
ASIC_320ks 321671 321671 1827807 16 0 clubs 16 09 64 75290257 294109 15.9999 872
ASIC_320ks 321671 321671 1827807 16 0 clubs 64 01 64 52234785 204048 15.9997 1071
ASIC_320ks 321671 321671 1827807 16 0 clubs 64 03 64 52447265 204878 15.9997 926
ASIC_320ks 321671 321671 1827807 16 0 clubs 64 06 64 58962465 230328 15.9997 886
ASIC_320ks 321671 321671 1827807 16 0 clubs 64 09 64 80229857 313577 15.9911 868
ASIC_320ks 321671 321671 1827807 16 0 clubs 256 01 64 60122001 234858 15.9998 1302
ASIC_320ks 321671 321671 1827807 16 0 clubs 256 03 64 60825745 237607 15.9998 782
ASIC_320ks 321671 321671 1827807 16 0 clubs 256 06 64 71557888 279532 15.9997 898
ASIC_320ks 321671 321671 1827807 16 0 clubs 256 09 64 79549824 310845 15.995 885
ASIC_320ks 321671 321671 1827807 16 0 clubs 1 01 64 51062705 199469 15.9998 899
ASIC_320ks 321671 321671 1827807 16 0 clubs 1 03 64 51062705 199469 15.9998 899
ASIC_320ks 321671 321671 1827807 16 0 clubs 1 06 64 50717873 198122 15.9998 920
ASIC_320ks 321671 321671 1827807 16 0 clubs 1 09 64 55706177 217607 15.9998 702
ASIC_320ks 321671 321671 1827807 16 0 clubs 16 01 64 50773537 198340 15.9997 1071
ASIC_320ks 321671 321671 1827807 16 0 clubs 16 03 64 49847473 194722 15.9998 912
ASIC_320ks 321671 321671 1827807 16 0 clubs 16 06 64 50305601 196511 15.9998 914
ASIC_320ks 321671 321671 1827807 16 0 clubs 16 09 64 75290257 294109 15.9999 872
ASIC_320ks 321671 321671 1827807 16 0 clubs 64 01 64 52234785 204048 15.9997 1071
ASIC_320ks 321671 321671 1827807 16 0 clubs 64 03 64 52447265 204878 15.9997 926
ASIC_320ks 321671 321671 1827807 16 0 clubs 64 06 64 58962465 230328 15.9997 886
ASIC_320ks 321671 321671 1827807 16 0 clubs 64 09 64 80229857 313577 15.9911 868
ASIC_320ks 321671 321671 1827807 16 0 clubs 256 01 64 60122001 234858 15.9998 1302
ASIC_320ks 321671 321671 1827807 16 0 clubs 256 03 64 60825745 237607 15.9998 782
ASIC_320ks 321671 321671 1827807 16 0 clubs 256 06 64 71557888 279532 15.9997 898
ASIC_320ks 321671 321671 1827807 16 0 clubs 256 09 64 79549824 310845 15.995 885
ASIC_320ks 321671 321671 1827807 16 0 clubs 1 01 128 51062705 199469 15.9998 899
